precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count
"['SrTiO3', 'BaTiO3']",Ba0.6Sr0.4Ti1O3,0.6 BaTiO3 + 0.4 SrTiO3 == 1 Ba0.6Sr0.4TiO3,2008,"['burned', 'sintered']","[[550.0], [1500.0]]","[[6.0], [4.0]]",1272.5,3.6666666666666665,1033.3333333333333,3.0,10.1111/j.1551-2916.2008.02607.x,True,4
"['Nb(CO2)5', 'KH3(CO)2']",KNbO3,1 CH3COOK + 2 H2O + 0.5 Nb2(C2O4)5 + 3.5 [OH-] == 1 KNbO3 + 3.75 O2 + 3.5 [CH3COO-],2010,['calcining'],[[800.0]],[[3.0]],,,800.0,3.0,10.1007/s10853-010-4431-6,True,2
"['WO3', 'MgO', 'Pb3O4']",Mg0.5Pb1W0.5O3,0.5 MgO + 0.333 Pb3O4 + 0.5 WO3 == 1 Pb(Mg0.5W0.5)O3 + 0.167 O2,2004,"['calcined', 'sintered']","[[1050.0], [1270.0]]","[[4.0], [4.0]]",1270.0,4.0,1050.0,4.0,10.1016/j.materresbull.2004.06.006,True,4
"['Al(NO3)3', 'Mg(NO3)2', 'Ba(NO3)2']",BaMgAl10O17,10 Al(NO3)3 + 1 Ba(NO3)2 + 1 Mg(NO3)2 + 34 [OH-] == 1 BaMgAl10O17 + 17 H2O + 34 [NO3-] ; target BaMgAl10O17 with additives Eu2+ via Eu(NO3)3,2006,"['kept', 'calcined', 'annealed']","[[400.0], [1300.0], [1300.0]]","[[12.0], [6.0], [6.0]]",,,1300.0,6.0,10.1016/j.jlumin.2005.09.003,True,2
"['WO3', 'CaCO3', 'Eu2O3']",Ca0.925Eu0.05W1O4,0.925 CaCO3 + 0.025 Eu2O3 + 1 WO3 == 1 Ca0.925Eu0.05WO4 + 0.925 CO2,2014,['sintered'],[[1200.0]],[[4.0]],1200.0,4.0,,,10.1016/j.optmat.2014.05.030,True,2
"['La2O3', 'SrCO3', 'MnO2', 'BaCO3']",Ba0.2Sr0.2La0.6Mn1O3,0.2 BaCO3 + 0.3 La2O3 + 1 MnO2 + 0.2 SrCO3 == 1 La0.6Sr0.2Ba0.2MnO3 + 0.4 CO2 + 0.15 O2,2003,['sintered'],[[1350.0]],[[18.0]],1350.0,18.0,,,10.1016/s0304-8853(02)01151-4,True,2
"['Cr2O3', 'Y2O3', 'Fe2O3']",Y1Cr0.5Fe0.5O3,0.25 Cr2O3 + 0.25 Fe2O3 + 0.5 Y2O3 == 1 YFe0.5Cr0.5O3,2016,"['treatment', 'heated', 'sintered']","[[900.0], [1200.0], [1300.0]]","[[24.0], [24.0], [24.0]]",1300.0,24.0,,,10.1016/j.jmmm.2016.04.047,True,2
"['La2O3', 'SiO2']",La9.333Si6O26,4.666 La2O3 + 6 SiO2 == 1 La9.333Si6O26,2018,"['calcined', 'sintering']","[[1200.0], [1500.0]]","[[2.0], [2.0]]",1500.0,2.0,1250.0,2.5,10.1039/c8ta02237b,True,4
"['TiO2', 'SrCO3']",SrTiO3,1 SrCO3 + 1 TiO2 == 1 SrTiO3 + 1 CO2,1999,"['calcined', 'sintered']","[[1150.0], []]","[[], []]",1358.1787234042554,11.209302325581396,1109.296,7.738461538461538,10.1016/s0955-2219(98)00307-0,True,4
"['TiO2', 'Nb2O5', 'CaCO3', 'CuO']",Ca0.25Ti0.99Nb0.01Cu0.75O3.005,0.25 CaCO3 + 0.75 CuO + 0.005 Nb2O5 + 0.99 TiO2 == 1 Ca0.25Cu0.75Ti0.99Nb0.01O3.005 + 0.25 CO2,2007,"['calcined', 'sintered']","[[900.0], [1100.0]]","[[12.0], [32.0]]",1100.0,32.0,900.0,12.0,10.1016/j.jeurceramsoc.2007.02.059,True,4
"['Na2CO3', 'Nb2O5', 'SrCO3']",NaSr2Nb5O15,0.5 Na2CO3 + 2.5 Nb2O5 + 2 SrCO3 == 1 Sr2NaNb5O15 + 2.5 CO2,2007,"['heated', 'heated']","[[899.85], [1249.85]]","[[24.0], []]",,,1225.0,18.0,10.1021/cm071303w,True,2
"['ZrO2', 'Nb2O5', 'CaCO3', 'MgO', 'TiO2']",Ca2Mg3Zr0.25Ti1.75Nb2O12,2 CaCO3 + 3 MgO + 1 Nb2O5 + 1.75 TiO2 + 0.25 ZrO2 == 1 (Ca2Mg3)Nb2(Ti1.75Zr0.25)O12 + 2 CO2 + 1 O2,2012,"['calcined', 'heated', 'sintered', 'increased']","[[1225.0], [], [1375.0, 1275.0], []]","[[4.0], [], [4.0], []]",1375.0,4.0,1225.0,4.0,10.1007/s10854-011-0386-x,True,4
"['CaCO3', 'SrCO3', 'PbO', 'BaCO3', 'Tl2O3', 'CuO']",Ba0.2Sr0.8Ca2Tl0.8Cu3Pb0.4O1,0.2 BaCO3 + 2 CaCO3 + 3 CuO + 0.4 PbO + 0.8 SrCO3 + 0.4 Tl2O3 == 1 Tl0.8Pb0.4Sr0.8Ba0.2Ca2Cu3O + 3 CO2 + 3.3 O2,2004,"['heat', 'treated', 'annealed']","[[], [920.0], [905.0]]","[[], [24.0], [7.5]]",,,905.0,7.5,10.1016/j.physc.2003.10.014,True,2
"['La2O3', 'Ca2P2O7']",Ca3La(PO4)3,1.5 Ca2P2O7 + 0.5 La2O3 == 1 Ca3La(PO4)3,2002,[],[],[],1400.0,,,,10.1016/s1293-2558(01)01227-4,True,1
"['CoO', 'NiO', 'Fe2O3']",Fe2Co0.8Ni0.2O4,0.8 CoO + 1 Fe2O3 + 0.2 NiO == 1 Ni0.2Co0.8Fe2O4,2009,['presintered'],[[800.0]],[[10.0]],800.0,10.0,,,10.1016/j.matchemphys.2009.03.040,True,2
"['Sm2O3', 'Nd2O3', 'SrCO3', 'Mn3O4']",Sr0.48Nd0.104Sm0.416Mn1O3,0.333 Mn3O4 + 0.052 Nd2O3 + 0.203 O2 + 0.208 Sm2O3 + 0.48 SrCO3 == 1 (Sm0.8Nd0.2)0.52Sr0.48MnO3 + 0.48 CO2,2010,"['calcined', 'sintered']","[[1100.0], [1300.0]]","[[20.0], [18.0]]",1300.0,18.0,1100.0,20.0,10.1063/1.3431343,True,4
"['Fe2O3', 'CuO']",Fe2CuO4,1 CuO + 1 Fe2O3 == 1 CuFe2O4,2004,"['prefired', 'fired', 'sintered']","[[1100.0], [], [1200.0]]","[[], [], [8.0]]",1150.0,6.0,999.85,12.0,10.1016/j.jssc.2004.09.021,True,4
"['Co2O3', 'ZnO', 'SiO2', 'Li2CO3']",Li1Zn1.425Co0.075Si1O4,0.038 Co2O3 + 0.5 Li2CO3 + 1 SiO2 + 1.425 ZnO == 1 Li(Zn0.95Co0.05)1.5SiO4 + 0.5 CO2 + 0.019 O2,2017,"['calcined', 'calcined', 'sintered', 'calcined', 'sintered']","[[1150.0], [], [900.0], [], [950.0, 850.0]]","[[4.0], [], [], [], [3.0]]",950.0,3.0,1150.0,4.0,10.1016/j.ceramint.2017.03.058,True,4
"['CaO', 'SiO2']",Ca2SiO4,2 CaO + 1 SiO2 == 1 Ca2SiO4,2008,[],[],[],1233.3333333333333,11.333333333333334,,,10.1016/j.chemosphere.2008.06.058,True,2
"['MnCO3', 'Cr2O3', 'La2O3', 'BaCO3']",Ba0.3La0.7Mn0.5Cr0.5O3,0.3 BaCO3 + 0.25 Cr2O3 + 0.35 La2O3 + 0.5 MnCO3 + 0.2 O2 == 1 La0.7Ba0.3Cr0.5Mn0.5O3 + 0.8 CO2,2009,['calcined'],"[[1650.0, 1200.0]]",[[]],,,1650.0,,10.1016/j.ssi.2009.05.010,True,1
"['NiO', 'Fe2O3', 'ZnO']",Zn0.24Fe1.15Ni0.76O2.725,0.575 Fe2O3 + 0.76 NiO + 0.24 ZnO == 1 (Ni0.76Zn0.24)O(Fe2O3)0.575,2000,"['calcined', 'sintered']","[[950.0], [1050.0]]","[[4.0], [2.0]]",1050.0,2.0,950.0,4.0,10.1016/s0304-8853(00)00408-x,True,4
"['Sb2O5', 'ZrO2', 'PbO']",ZrPbO3,1 PbO + 1 Sb2O5 + 1 ZrO2 == 1 PbZrO3+Sb2O5,2002,"['sintered', 'sintering']","[[1100.0], [1260.0]]","[[2.0], [12.0]]",1260.0,12.0,,,10.1016/s0955-2219(01)00399-5,True,2
"['Al2O3', 'Lu2O3', 'Y2O3']",Y0.7Lu0.3Al1O3,0.5 Al2O3 + 0.15 Lu2O3 + 0.35 Y2O3 == 1 Y0.7Lu0.3AlO3,2016,"['calcined', 'sintered']","[[1000.0], [1400.0]]","[[3.0], [48.0]]",1400.0,48.0,1000.0,3.0,10.1063/1.4972303,True,4
"['SrCO3', 'Co3O4', 'Gd2O3']",Sr0.3Gd0.7Co1O3,0.333 Co3O4 + 0.35 Gd2O3 + 0.158 O2 + 0.3 SrCO3 == 1 Gd0.7Sr0.3CoO3 + 0.3 CO2,2006,"['prefired', 'sintered', 'annealed']","[[1200.0], [1200.0], [500.0]]","[[24.0], [24.0], [48.0]]",1200.0,24.0,500.0,48.0,10.1016/j.ssc.2006.02.027,True,4
"['La2O3', 'MnO2', 'MoO3']",La1Mn0.96Mo0.04O3,0.5 La2O3 + 0.96 MnO2 + 0.04 MoO3 == 1 LaMn0.96Mo0.04O3 + 0.27 O2,2006,"['fired', 'sintered', 'annealed']","[[1050.0, 1000.0, 900.0], [1100.0], []]","[[24.0], [24.0], []]",1100.0,24.0,,,10.1103/physrevb.73.174425,True,2
"['Yb2O3', 'CeO2', 'SrCO3']",Sr1Yb0.05Ce0.95O3,0.95 CeO2 + 0.012 O2 + 1 SrCO3 + 0.025 Yb2O3 == 1 SrCe0.95Yb0.05O3 + 1 CO2,2000,"['calcining', 'sintered']","[[1300.0], [1500.0]]","[[17.0], [10.0]]",1499.925,10.0,1299.9625,12.25,10.1016/s0925-4005(00)00530-x,True,4
"['MnCO3', 'Yb2O3', 'Co3O4']",Yb2MnCoO6,0.333 Co3O4 + 1 MnCO3 + 0.333 O2 + 1 Yb2O3 == 1 Yb2CoMnO6 + 1 CO2,2015,"['heated', 'sintered']","[[900.0], [1200.0]]","[[], []]",1200.0,,,,10.1063/1.4926403,True,1
"['Na2CO3', 'AsH6NO4', 'Bi2O3']",Na3Bi(AsO4)2,0.5 Bi2O3 + 2 NH4H2AsO4 + 1.5 Na2CO3 == 1 Na3Bi(AsO4)2 + 1.5 CO2 + 3 H2O + 2 NH3,2019,"['calcined', 'heated', 'kept']","[[400.0], [830.0], []]","[[12.0], [], []]",,,400.0,12.0,10.1016/j.jssc.2019.01.034,True,2
"['TiO2', 'SrH6(CO)4', 'YH9(CO)6']",Sr0.88Y0.08Ti1O3,0.88 Sr(CH3COO)2·0.5H2O + 1 TiO2 + 0.08 Y(CH3COO)3·4H2O + 2 [OH-] == 1 Y0.08Sr0.88TiO3 + 1.76 H2O + 2 [CH3COO-],2010,['calcined'],[[1200.0]],[[5.0]],,,1200.0,5.0,10.1149/1.3421792,True,2
"['La2O3', 'CaCO3', 'Nb2O5']",Ca0.02La0.98Nb1O4,0.02 CaCO3 + 0.49 La2O3 + 0.5 Nb2O5 + 0.005 O2 == 1 La0.98Ca0.02NbO4 + 0.02 CO2,2019,"['pre-heated', 'calcined']","[[900.0], [800.0]]","[[12.0], [2.0]]",1200.0,12.0,800.0,2.0,10.1016/j.jssc.2018.12.034,True,4
"['Al(HO)3', 'GeO2', 'PH3O4', 'Li2CO3']",Li1.5Al0.5Ge1.5P3O12,0.5 Al(OH)3 + 1.5 GeO2 + 3 H3PO4 + 0.75 Li2CO3 == 1 Li1.5Al0.5Ge1.5(PO4)3 + 0.75 CO2 + 5.25 H2O,2019,"['pre-sintered', 'heated', 'sintered']","[[700.0], [1400.0], [850.0]]","[[2.0], [2.0], [5.0]]",850.0,5.0,,,10.1016/j.electacta.2018.11.206,True,2
"['Al2O3', 'ZnO']",Al0.04Zn0.96O1,0.02 Al2O3 + 0.96 ZnO == 1 Al0.04Zn0.96O + 0.01 O2,2016,"['sintered', 'treated']","[[1170.0], [900.0]]","[[], []]",1170.0,,,,10.1016/j.apsusc.2015.12.106,True,1
"['CeO2', 'SrCO3', 'Eu2O3']",Sr1Ce0.95Eu0.05O3,0.95 CeO2 + 0.025 Eu2O3 + 0.012 O2 + 1 SrCO3 == 1 SrCe0.95Eu0.05O3 + 1 CO2,2003,"['calcined', 'sintered']","[[1299.85], [1499.85]]","[[10.0], [10.0]]",1499.85,10.0,1299.85,10.0,10.1149/1.1574031,True,4
"['Nb2O5', 'BaCO3']",BaNb2O6,1 BaCO3 + 1 Nb2O5 == 1 BaNb2O6 + 1 CO2,1999,"['calcination', 'sintered']","[[1100.0], []]","[[], []]",1340.0,3.0,1064.2857142857142,3.8,10.1016/s0955-2219(98)00339-2,True,4
"['Bi2O3', 'V2O5', 'PbO', 'BaCO3']",BaVBiPbO6,1 BaCO3 + 0.5 Bi2O3 + 1 PbO + 0.5 V2O5 == 1 PbBaBiVO6 + 1 CO2,2019,['calcined'],[[710.0]],[[]],,,710.0,,10.1016/j.matchemphys.2019.04.051,True,1
"['Sb2O5', 'La2O3']",LaSbO4,0.5 La2O3 + 0.5 Sb2O5 == 1 LaSbO4,2013,"['calcined', 'sintered']","[[1500.0], [1500.0]]","[[], [8.0]]",1500.0,8.0,1500.0,,10.1016/j.matchemphys.2013.03.031,True,3
"['H2WO4', 'Li2CO3']",Li2WO4,1 H2WO4 + 1 Li2CO3 == 1 Li2WO4 + 1 CO2 + 1 H2O,2015,"['calcined', 'calcined', 'sintered']","[[870.0], [500.0], []]","[[4.0], [4.0], []]",,,500.0,4.0,10.1007/s10854-014-2522-x,True,2
"['PH6NO4', 'Li2CO3']",Li3PO4,1.5 Li2CO3 + 1 NH4H2PO4 == 1 Li3PO4 + 1.5 CO2 + 1.5 H2O + 1 NH3,2003,['calcination'],[[800.0]],[[48.0]],,,800.0,48.0,10.1016/s0921-5107(02)00574-3,True,2
"['SiO2', 'Y2O3', 'BaCO3']",Ba9Y1.52Si6O24,"9 BaCO3 + 0.36 O2 + 6 SiO2 + 0.76 Y2O3 == 1 Ba9Y1.52Si6O24 + 9 CO2 ; target Ba9Y1.52Si6O24 with additives 0.4Yb3+, 0.08Ho3+ via Ho2O3, Yb2O3",2018,"['prefired', 'calcined']","[[950.0], [1130.0]]","[[3.0], [3.0]]",,,1130.0,3.0,10.1016/j.matchemphys.2017.12.007,True,2
"['Y2O3', 'CuO', 'BaCO3']",Ba2Y1.5Cu3O1,2 BaCO3 + 3 CuO + 0.75 Y2O3 == 1 Y1.5Ba2Cu3O + 2 CO2 + 3.125 O2,2005,"['sintered', 'held']","[[980.0, 930.0], []]","[[5.0, 16.0], [5.0]]",952.5,8.333333333333334,675.0,5.0,10.1016/j.ssi.2004.10.003,True,4
"['Al2O3', 'Nd2O3', 'Sm2O3']",Nd0.1Sm0.9Al1O3,0.5 Al2O3 + 0.05 Nd2O3 + 0.45 Sm2O3 == 1 Sm0.9Nd0.1AlO3,2013,"['calcined', 'sintered']","[[1170.0], [1370.0]]","[[3.0], [3.0]]",1370.0,3.0,1170.0,3.0,10.1007/s10854-013-1458-x,True,4
"['SnO2', 'Cr2O3', 'Nb2O5', 'CoO']",CoO,1 CoO + 1 Cr2O3 + 1 Nb2O5 + 0.05 O2 + 1 SnO2 == 1 SnO2+1.00CoO+0.05Nb2O5+0.05Cr2O3,2009,"['sintered', 'sintering']","[[1350.0], []]","[[1.0], []]",1350.0,1.0,,,10.1007/s10854-008-9602-8,True,2
"['TiO2', 'ZrO2', 'PbO']",Zr0.53Ti0.47Pb1O3,1 PbO + 0.47 TiO2 + 0.53 ZrO2 == 1 Pb(Zr0.53Ti0.47)O3,2001,"['calcination', 'done', 'sintered', 'fired']","[[], [890.0], [800.0], [800.0]]","[[], [2.0], [], []]",1137.5,3.0,922.2222222222222,2.2222222222222223,10.1016/s0955-2219(01)00020-6,True,4
"['MnCO3', 'Na2CO3', 'Li2CO3']",Na1Li0.2Mn0.8O2,0.1 Li2CO3 + 0.8 MnCO3 + 0.5 Na2CO3 + 0.3 O2 == 1 NaLi0.2Mn0.8O2 + 1.4 CO2,2015,"['treated', 'calcined']","[[500.0], [730.0]]","[[], []]",,,730.0,,10.1016/j.electacta.2015.02.043,True,1
"['Al2O3', 'Na2CO3', 'MgCO3']",Na1.67Mg0.67Al10.33O17,5.165 Al2O3 + 0.67 MgCO3 + 0.835 Na2CO3 == 1 Na1.67Mg0.67Al10.33O17 + 1.505 CO2,2003,['calcined'],[[799.85]],[[]],,,799.85,,10.1016/s0167-2738(02)00772-5,True,1
"['TiO2', 'MgCO3', 'ZnO']",Mg0.35Ti1Zn0.65O3,0.35 MgCO3 + 1 TiO2 + 0.65 ZnO == 1 (Zn0.65Mg0.35)TiO3 + 0.35 CO2,2010,['calcined'],[[900.0]],[[4.0]],,,900.0,4.0,10.1007/s10853-010-4732-9,True,2
"['FeH21(C5O2)3', 'H6Pb(CO)4']",Fe2Pb2O5,2 Fe(CH3COCHCOCH3)3 + 6 O2 + 2 Pb(C2H3O2)2 + 19 [OH-] == 1 Pb2Fe2O5 + 8 H2O + 19 [CH3COO-],2011,['sintered'],[[800.0]],[[1.0]],800.0,1.0,,,10.1016/j.materresbull.2010.11.031,True,2
"['La(HO)3', 'Nb2O5', 'Li2CO3']",Li0.07La0.31Nb1O3,0.31 La(OH)3 + 0.035 Li2CO3 + 0.5 Nb2O5 == 1 (La0.31Li0.07)NbO3 + 0.035 CO2 + 0.465 H2O,2018,"['annealed', 'sintered', 'sintered']","[[696.85], [1146.85], [1196.85]]","[[2.5], [12.0], [3.0]]",1196.85,3.0,696.85,2.5,10.1016/j.jpowsour.2018.09.091,True,4
"['Al2O3', 'Nd2O3']",NdAlO3,0.5 Al2O3 + 0.5 Nd2O3 == 1 NdAlO3,2003,"['calcined', 'calcined', 'debinding', 'sintered']","[[1200.0], [], [], [1370.0]]","[[2.0], [], [], [2.0]]",1370.0,2.0,1225.0,2.5,10.1016/s0955-2219(02)00086-9,True,4
"['Y2O3', 'Fe2O3', 'Bi2O3']",Y0.7Fe0.3Bi1O3,0.5 Bi2O3 + 0.15 Fe2O3 + 0.35 Y2O3 == 1 Bi(Y0.7Fe0.3)O3,2014,"['calcined', 'calcined']","[[850.0], [800.0]]","[[2.0], [2.0]]",,,800.0,2.0,10.1016/j.mee.2014.06.024,True,2
"['WO3', 'La2O3', 'Pr6O11']",La1.98Pr0.02W3O12,0.99 La2O3 + 0.003 Pr6O11 + 3 WO3 == 1 Pr0.02La1.98(WO4)3 + 0.003 O2,2007,['sintered'],[[950.0]],[[48.0]],950.0,48.0,,,10.1016/j.materresbull.2006.07.013,True,2
"['MoO3', 'ZnO']",Zn3Mo2O9,2 MoO3 + 3 ZnO == 1 Zn3Mo2O9,2018,"['calcined', 'heated', 'sintered']","[[940.0], [550.0], [1020.0]]","[[4.0], [4.0], []]",1020.0,,940.0,4.0,10.1007/s10854-017-8100-2,True,3
"['H5NF2', 'CaCO3', 'SiO2']",Ca4Si2O7F2,4 CaCO3 + 1 NH4HF2 + 2 SiO2 == 1 Ca4Si2O7F2 + 4 CO2 + 1 H2O + 1 NH3 ; target Ca4Si2O7F2 with additives Ce3+ via Ce2(CO3)3,2019,"['pre-calcined', 'sintered']","[[600.0], [1000.0]]","[[3.0], [15.0]]",1000.0,15.0,600.0,3.0,10.1016/j.jallcom.2018.10.198,True,4
"['SiO2', 'Li2CO3']",Li2SiO3,1 Li2CO3 + 1 SiO2 == 1 Li2SiO3 + 1 CO2,2000,"['calcined', 'sintered']","[[949.85], [1149.85]]","[[8.0], [8.0]]",1024.925,3.5,749.9625,5.0,10.1016/s0022-3115(00)00364-0,True,4
"['La2O3', 'PbO', 'Fe2O3', 'Bi2O3']",La0.1Fe1Bi0.725Pb0.175O3,0.362 Bi2O3 + 0.5 Fe2O3 + 0.05 La2O3 + 0.044 O2 + 0.175 PbO == 1 Bi0.725La0.1Pb0.175FeO3,2014,"['calcined', 'calcined', 'Sintering', 'sintering']","[[830.0, 650.0], [], [], []]","[[], [], [], []]",,,830.0,,10.1016/j.materresbull.2013.09.018,True,1
"['La2O3', 'Ta2O5', 'Li2CO3']",Li7La3Ta2O13,1.5 La2O3 + 3.5 Li2CO3 + 1 Ta2O5 == 1 Li7La3Ta2O13 + 3.5 CO2,2009,"['calcined', 'sintered', 'fired']","[[700.0], [900.0], [26.850000000000023, 600.0]]","[[6.0], [24.0], []]",900.0,24.0,700.0,6.0,10.1016/j.ssi.2009.07.002,True,4
"['TiO2', 'SrCO3', 'CaCO3', 'BaCO3']",Ba0.5Sr0.45Ca0.05Ti1O3,0.5 BaCO3 + 0.05 CaCO3 + 0.45 SrCO3 + 1 TiO2 == 1 Ba0.5Sr0.45Ca0.05TiO3 + 1 CO2,2015,"['calcined', 'sintered', 'heated']","[[1200.0], [1400.0], []]","[[4.0], [2.0], []]",1400.0,2.0,1200.0,4.0,10.1007/s10854-015-2710-3,True,4
"['TiO2', 'CoO', 'MgO']",Mg1.9Ti1Co0.1O4,0.1 CoO + 1.9 MgO + 1 TiO2 == 1 (Mg0.95Co0.05)2TiO4,2010,['calcined'],[[1099.85]],[[4.0]],,,1099.85,4.0,10.1016/j.matchemphys.2009.10.050,True,2
"['La2O3', 'Y2O3']",La0.2Y3.8O3,0.1 La2O3 + 1.9 Y2O3 == 1 (La0.1Y1.9)2O3 + 1.5 O2 ; target (La0.1Y1.9)2O3 with additives Yb via Yb2O3,2017,"['calcined', 'calcined', 'calcined', 'sintered', 'annealed']","[[1000.0], [600.0], [], [1650.0], [1450.0]]","[[4.0], [4.0], [], [10.0], [20.0]]",1650.0,10.0,1450.0,20.0,10.1016/j.optmat.2016.06.017,True,4
"['Nb2O5', 'MgO', 'Bi2O3']",Mg1Nb1.5Bi1.5O7,0.75 Bi2O3 + 1 MgO + 0.75 Nb2O5 == 1 Bi1.5MgNb1.5O7,2009,"['sintered', 'kept', 'annealed']","[[], [600.0], [750.0]]","[[], [], []]",1090.0,4.4,787.5,2.0,10.1063/1.3126442,True,4
"['TiO2', 'Yb2O3']",Yb2Ti2.05O7,2.05 TiO2 + 1 Yb2O3 == 1 Yb2Ti2.05O7 + 0.05 O2,2018,"['sintered', 'firing']","[[1150.0], [1350.0]]","[[12.0], [24.0]]",1150.0,12.0,,,10.1016/j.actamat.2017.10.028,True,2
"['Nb2O5', 'Li2CO3']",Li3NbO4,1.5 Li2CO3 + 0.5 Nb2O5 == 1 Li3NbO4 + 1.5 CO2,2007,['calcined'],[[950.0]],[[]],970.0,2.0,800.0,9.0,10.1016/j.jssc.2007.05.020,True,4
"['RuO2', 'NiO', 'MnO2', 'LiHO']",Li1.1Mn1.5Ni0.35Ru0.05O4,1.1 LiOH + 1.5 MnO2 + 0.35 NiO + 0.05 RuO2 == 1 Li1.1Ni0.35Ru0.05Mn1.5O4 + 0.55 H2O,2009,"['calcined', 'calcined']","[[650.0], [800.0]]","[[5.0], [15.0]]",,,800.0,15.0,10.1016/j.elecom.2009.05.054,True,2
"['TiO2', 'CaCO3', 'CuO']",CaTi4(CuO4)3,1 CaCO3 + 3 CuO + 4 TiO2 == 1 CaCu3Ti4O12 + 1 CO2,2003,"['heated', 'sintered']","[[1000.0], [1000.0]]","[[40.0], [20.0]]",1061.4044776119404,13.436363636363636,955.3347222222224,10.59375,10.1016/s0167-577x(02)01250-8,True,4
"['Ta2O5', 'TiO2', 'SrCO3', 'Bi2O3']",Sr1Ta1.9Ti0.2Bi1.9O9,0.95 Bi2O3 + 1 SrCO3 + 0.95 Ta2O5 + 0.2 TiO2 == 1 Sr(Bi2Ta2)0.95Ti0.2O9 + 1 CO2,2004,"['calcined', 'calcined', 'sintering']","[[800.0], [], []]","[[2.0], [], []]",,,800.0,2.0,10.1016/j.matlet.2003.10.003,True,2
"['Zr', 'B2O3', 'V']",Zr3V3B0.4O0.6,0.2 B2O3 + 3 V + 3 Zr == 1 Zr3V3B0.40O0.60,2001,['annealed'],[[999.85]],[[]],,,999.85,,10.1016/s0925-8388(00)01402-x,True,1
"['Cu(NO3)2', 'Ba(NO3)2', 'Y2O3', 'AgNO3']",Ba2Y1Cu3Ag0.1O1,0.1 AgNO3 + 2 Ba(NO3)2 + 3 Cu(NO3)2 + 0.5 Y2O3 + 10.1 [OH-] == 1 YBa2Cu3OAg0.1 + 5.05 H2O + 2.775 O2 + 10.1 [NO3-],2004,['calcined'],[[809.85]],[[12.0]],,,809.85,12.0,10.1016/s0272-8842(03)00126-3,True,2
"['La2O3', 'ZrO2', 'Li2CO3']",Li7La3Zr2O12,1.5 La2O3 + 3.5 Li2CO3 + 2 ZrO2 == 1 Li7La3Zr2O12 + 3.5 CO2,2014,"['pre-heated', 'heated', 'sintered']","[[900.0], [950.0, 800.0], [1200.0]]","[[], [], []]",1168.0,8.0,890.0,7.888888888888889,10.1016/j.electacta.2013.11.020,True,4
"['ZrO2', 'PbO2']",ZrPbO3,1 PbO2 + 1 ZrO2 == 1 PbZrO3 + 0.5 O2,2014,"['calcination', 'sintered']","[[], [1140.0]]","[[], [2.0]]",1140.0,2.0,,,10.1016/j.radphyschem.2013.06.028,True,2
"['CaCO3', 'Mn2O3']",Ca2MnO4,2 CaCO3 + 0.5 Mn2O3 + 0.25 O2 == 1 Ca2MnO4 + 2 CO2,1999,"['treated', 'heated', 'done', 'heating', 'sintered']","[[900.0], [], [1250.0], [], []]","[[8.0], [], [24.0], [], [40.0]]",,40.0,,,10.1021/cm980563y,True,1
"['NiH6(CO)4', 'Nb2O5']",Nb2NiO6,1 Nb2O5 + 1 Ni(CH3COO)2 + 2 [OH-] == 1 NiNb2O6 + 1 H2O + 2 [CH3COO-],2001,['calcined'],[[1000.0]],[[6.0]],,,962.5,3.75,10.1016/s0921-5107(00)00800-x,True,2
"['Co3O4', 'CaCO3', 'BaCO3']",BaCaCo4O7,1 BaCO3 + 1 CaCO3 + 1.333 Co3O4 == 1 CaBaCo4O7 + 2 CO2 + 0.167 O2,2011,"['heated', 'sintered']","[[900.0], [1100.0]]","[[], [12.0]]",1100.0,12.0,,,10.1016/j.ssc.2011.04.013,True,2
"['Sc2O3', 'BaCO3']",Ba3Sc4O9,3 BaCO3 + 2 Sc2O3 == 1 Ba3Sc4O9 + 3 CO2,2014,"['Calcination', 'sintered']","[[], [1399.85]]","[[], []]",1399.85,,,,10.1039/c4dt00426d,True,1
"['MnO2', 'MgO', 'Fe2O3', 'ZnO', 'CuO']",Mg0.49Mn0.01Zn0.4Fe2Cu0.1O4,0.1 CuO + 1 Fe2O3 + 0.49 MgO + 0.01 MnO2 + 0.4 ZnO == 1 Mg0.49Cu0.10Mn0.01Zn0.4Fe2O4 + 0.005 O2,2014,"['calcined', 'sintered']","[[950.0], [1175.0, 1125.0, 1075.0, 1025.0, 975.0]]","[[4.0], [10.0]]",1175.0,10.0,950.0,4.0,10.1016/j.jmmm.2013.11.053,True,4
"['Sr(NO3)2', 'Bi2O3']",Sr5(BiO4)3,3 Bi2O3 + 2.5 O2 + 10 Sr(NO3)2 + 20 [OH-] == 1 Sr10Bi6O24 + 10 H2O + 20 [NO3-],2008,['sintered'],[[]],[[]],900.0,2.0,,,10.1016/j.jhazmat.2008.01.110,True,2
"['MnCO3', 'NiCO3', 'CoCO3', 'Fe2O3']",Mn0.05Fe2Co0.01Ni0.94O4,0.01 CoCO3 + 1 Fe2O3 + 0.05 MnCO3 + 0.94 NiCO3 == 1 Ni0.94Co0.01Mn0.05Fe2O4 + 1 CO2,2008,['presintering'],[[800.0]],[[8.0]],800.0,8.0,,,10.1016/j.materresbull.2007.03.004,True,2
